         5262144 function calls (5254790 primitive calls) in 3.039 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    3.039    3.039 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:180(load_vault)
      196    0.058    0.000    2.903    0.015 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:133(process_file)
      196    0.001    0.000    1.298    0.007 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_text_splitters\character.py:117(split_text)
 3461/196    0.144    0.000    1.298    0.007 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_text_splitters\character.py:77(_split_text)
     5334    0.655    0.000    0.869    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_text_splitters\base.py:107(_merge_splits)
    35256    0.040    0.000    0.752    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:569(_parse_args)
    35257    0.375    0.000    0.707    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:56(parse_parts)
    17726    0.063    0.000    0.541    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:791(relative_to)
    17530    0.016    0.000    0.453    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:957(__new__)
    17530    0.018    0.000    0.438    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:589(_from_parts)
      196    0.015    0.000    0.267    0.001 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:57(extract_metadata)
   317109    0.218    0.000    0.224    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:147(splitroot)
      588    0.001    0.000    0.215    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:232(findall)
      588    0.213    0.000    0.213    0.000 {method 'findall' of 're.Pattern' objects}
      196    0.001    0.000    0.213    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\__init__.py:140(load)
2150348/2146352    0.182    0.000    0.184    0.000 {built-in method builtins.len}
     3461    0.013    0.000    0.169    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_text_splitters\character.py:31(_split_text_with_regex)
      196    0.001    0.000    0.156    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\__init__.py:168(loads)
      196    0.001    0.000    0.144    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\__init__.py:48(parse)
      196    0.001    0.000    0.129    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\default_handlers.py:255(load)
      196    0.001    0.000    0.128    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\__init__.py:74(load)
      196    0.006    0.000    0.125    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:47(get_single_data)
    35661    0.018    0.000    0.124    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:189(casefold_parts)
        1    0.006    0.006    0.112    0.112 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:208(<listcomp>)
    17530    0.023    0.000    0.106    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:26(to_langchain_document)
    35661    0.068    0.000    0.106    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:190(<listcomp>)
  1075180    0.105    0.000    0.105    0.000 {method 'append' of 'list' objects}
     1124    0.103    0.000    0.103    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\nodes.py:27(__init__)
     3427    0.002    0.000    0.095    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:222(split)
     3623    0.093    0.000    0.093    0.000 {method 'split' of 're.Pattern' objects}
    17530    0.014    0.000    0.084    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_core\documents\base.py:285(__init__)
    17530    0.014    0.000    0.070    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_core\load\serializable.py:128(__init__)
    17530    0.017    0.000    0.069    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:634(as_posix)
   335037    0.060    0.000    0.060    0.000 {method 'replace' of 'str' objects}
    17530    0.008    0.000    0.055    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\pydantic\main.py:243(__init__)
    18140    0.034    0.000    0.049    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:621(__str__)
    17530    0.047    0.000    0.047    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
     4733    0.003    0.000    0.044    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:197(search)
     3427    0.043    0.000    0.043    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_text_splitters\character.py:42(<listcomp>)
   347606    0.041    0.000    0.041    0.000 {method 'lower' of 'str' objects}
     4733    0.035    0.000    0.035    0.000 {method 'search' of 're.Pattern' objects}
      196    0.001    0.000    0.032    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\codecs.py:871(open)
    18611    0.014    0.000    0.032    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_text_splitters\base.py:98(_join_docs)
      196    0.030    0.000    0.030    0.000 {built-in method io.open}
   281853    0.028    0.000    0.028    0.000 {built-in method sys.intern}
      392    0.000    0.000    0.020    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:202(sub)
      196    0.000    0.000    0.019    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\codecs.py:699(read)
      196    0.001    0.000    0.019    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\codecs.py:451(read)
      392    0.018    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
    19816    0.012    0.000    0.017    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:600(_from_parsed_parts)
     3461    0.017    0.000    0.017    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_text_splitters\character.py:55(<listcomp>)
      392    0.000    0.000    0.016    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\util.py:8(u)
