         44897 function calls (42377 primitive calls) in 0.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.867    0.867 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\runners.py:8(run)
        3    0.000    0.000    0.866    0.289 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:610(run_until_complete)
        3    0.000    0.000    0.866    0.289 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\windows_events.py:317(run_forever)
        3    0.000    0.000    0.866    0.289 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:587(run_forever)
       52    0.001    0.000    0.866    0.017 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:1821(_run_once)
       52    0.000    0.000    0.802    0.015 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\windows_events.py:437(select)
       53    0.001    0.000    0.802    0.015 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\windows_events.py:775(_poll)
       76    0.801    0.011    0.801    0.011 {built-in method _overlapped.GetQueuedCompletionStatus}
       69    0.000    0.000    0.063    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:78(_run)
       69    0.000    0.000    0.063    0.001 {method 'run' of '_contextvars.Context' objects}
       21    0.001    0.000    0.049    0.002 C:\Users\Rando\Workspaces\gnosis-rag\backend\fast_indexer.py:274(process_with_semaphore)
       21    0.000    0.000    0.048    0.002 C:\Users\Rando\Workspaces\gnosis-rag\backend\fast_indexer.py:302(_generate_embeddings_batch)
       21    0.000    0.000    0.045    0.002 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\resources\embeddings.py:162(create)
       21    0.000    0.000    0.042    0.002 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_base_client.py:1791(post)
       21    0.000    0.000    0.041    0.002 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_base_client.py:1481(request)
       21    0.000    0.000    0.041    0.002 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_base_client.py:1503(_request)
       20    0.000    0.000    0.030    0.002 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_client.py:1594(send)
       12    0.000    0.000    0.017    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_models.py:974(aread)
       11    0.000    0.000    0.016    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_models.py:979(<listcomp>)
       99    0.000    0.000    0.016    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_models.py:982(aiter_bytes)
       10    0.000    0.000    0.014    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_client.py:1645(_send_handling_auth)
       10    0.000    0.000    0.014    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_client.py:1679(_send_handling_redirects)
       10    0.000    0.000    0.014    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_client.py:1717(_send_single_request)
       99    0.000    0.000    0.013    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_models.py:1037(aiter_raw)
      100    0.001    0.000    0.013    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\http11.py:209(_receive_event)
       98    0.000    0.000    0.013    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_client.py:175(__aiter__)
       98    0.000    0.000    0.013    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_transports\default.py:269(__aiter__)
       98    0.000    0.000    0.013    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\connection_pool.py:401(__aiter__)
       98    0.000    0.000    0.013    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\http11.py:330(__aiter__)
