         7681 function calls (7665 primitive calls) in 0.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.470    0.470 C:\Users\Rando\Workspaces\gnosis-rag\backend\rag_pipeline.py:564(index_documents)
        3    0.000    0.000    0.462    0.154 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\threading.py:589(wait)
        4    0.000    0.000    0.462    0.116 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\threading.py:288(wait)
       17    0.462    0.027    0.462    0.027 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.461    0.231 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\_base.py:201(as_completed)
        1    0.000    0.000    0.003    0.003 C:\Users\Rando\Workspaces\gnosis-rag\backend\rag_pipeline.py:478(_save_index)
        7    0.000    0.000    0.002    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1600(_log)
        7    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1626(handle)
        7    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1680(callHandlers)
        2    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\threading.py:916(start)
       14    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:955(handle)
       14    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1088(emit)
        4    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:1464(display)
       50    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\rag_pipeline.py:28(sanitize_for_json)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:663(__new__)
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:1325(refresh)
       20    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\_monitor.py:30(__init__)
        8    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1467(info)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:952(__init__)
       18    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:1150(__str__)
        4    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:464(format_meter)
       12    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\utils.py:378(disp_len)
       12    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\utils.py:374(_text_width)
       12    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\thread.py:161(submit)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\thread.py:180(_adjust_thread_count)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\faiss\swigfaiss_avx2.py:10805(write_index)
        1    0.001    0.001    0.001    0.001 {built-in method faiss._swigfaiss_avx2.write_index}
     1818    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\rag_pipeline.py:50(<genexpr>)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1479(warning)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\shutil.py:421(copy2)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1496(error)
        4    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:457(print_status)
        7    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1204(emit)
     1066    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\utils.py:375(<genexpr>)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1285(exists)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:1138(__exit__)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1092(stat)
        2    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:1265(close)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\shutil.py:224(copyfile)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\rag_pipeline.py:556(_create_faiss_index)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:1402(set_postfix)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:1198(update)
       14    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:932(format)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\utils.py:297(_screen_shape_windows)
       14    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:665(format)
       10    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\utils.py:194(inner)
        7    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1585(makeRecord)
        7    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:283(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\utils.py:386(disp_trim)
       50    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:451(fp_write)
       14    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1077(flush)
       18    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       14    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:597(formatTime)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1200(unlink)
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\shutil.py:200(_samefile)
       20    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\genericpath.py:94(samefile)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\ctypes\__init__.py:384(__getattr__)
        2    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\shutil.py:218(_stat)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\ctypes\__init__.py:391(__getitem__)
     1920    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1054    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\genericpath.py:39(isdir)
        2    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\tqdm\std.py:1286(fp_write)
       14    0.000    0.000    0.000    0.000 {built-in method time.strftime}
